age,gender,education,occupation,organization_type,seniority,annual_income,disposable_income,house_type,vehicle_type,marital_status,no_card,default
19,Male,Graduate,Professional,None,None,186319,21625,Family,None,Married,0,1
18,Male,Under Graduate,Professional,None,None,277022,20442,Rented,None,Married,0,1
29,Male,Under Graduate,Salaried,None,Entry,348676,24404,Rented,None,Married,1,1
18,Male,Graduate,Student,None,None,165041,2533,Rented,None,Married,0,1
26,Male,Post Graduate,Salaried,None,Mid-level 1,348745,19321,Rented,None,Married,1,1
26,Female,Other,Student,None,None,404972,22861,Family,None,Single,0,1
28,Male,Under Graduate,Student,None,None,231185,20464,Family,None,Married,0,1
24,Female,Under Graduate,Salaried,None,Entry,102554,42159,Family,None,Married,1,1
26,Female,Under Graduate,Salaried,None,Junior,226786,19817,Family,None,Single,0,1
26,Male,Graduate,Salaried,None,Mid-level 1,250424,5271,Family,Two Wheeler,Married,1,1
21,Male,Graduate,Professional,None,None,154970,1916,Family,None,Married,2,1
20,Male,Graduate,Business,None,None,160487,14949,Family,None,Married,2,1
19,Male,Under Graduate,Salaried,None,Junior,311863,6142,Rented,None,Single,1,1
22,Male,Graduate,Professional,None,None,307890,41440,Family,Two Wheeler,Single,0,1
28,Male,Other,Professional,None,None,165164,16114,Rented,Two Wheeler,Other,1,1
26,Male,Under Graduate,Student,None,None,101988,2625,Rented,None,Other,1,1
27,Female,Other,Professional,None,None,322711,3016,Rented,None,Single,1,1
25,Female,Graduate,Business,None,None,128971,13305,Family,Two Wheeler,Single,0,1
29,Female,Under Graduate,Professional,None,None,165658,8494,Rented,Two Wheeler,Single,1,1
28,Male,Graduate,Professional,None,None,425478,10286,Family,Two Wheeler,Single,1,1
29,Male,Post Graduate,Professional,None,None,345982,20479,Rented,None,Single,2,1
21,Male,Graduate,Salaried,Tier 3,Entry,133975,8762,Family,None,Single,0,1
19,Female,Other,Salaried,None,Entry,269009,2865,Rented,None,Married,1,1
23,Female,Other,Business,None,None,273606,11495,Family,None,Married,1,1
24,Male,Graduate,Salaried,Tier 3,Entry,276982,18540,Family,None,Married,0,1
23,Male,Under Graduate,Student,None,None,235798,39372,Rented,None,Married,0,1
18,Male,Post Graduate,Salaried,None,Mid-level 1,422071,25861,Family,None,Single,0,1
21,Male,Post Graduate,Salaried,None,Mid-level 1,473825,35966,Rented,None,Other,0,1
